id;title;address;coordonnees
1;"La ferme du Mont des Récollets";"1936 route de Steenvoorde 59670 Cassel";50.80243057,2.505012229
2;"Le manoir aux Loups";"300 route de Neuville 59250 Halluin";50.76974222,3.140888214
3;"Jardin botanique du beau Pays";"3091 Avenue F. Mitterrand 62730 Marck";50.95,1.99
4;"Potager des Princes";"17 rue de la Faisanderie 60500 Chantilly";49.1957301,2.475610524
5;"Jardin et parc du château de Compiègne";"place du Général De Gaulle 60200 Compiègne";49.41929542,2.831188291
6;"Jardin des Plantes";"60 boulevard du Jardin des Plantes 80000 Amiens";49.90155962,2.296431586
7;"Jardin du Brûle";"7 rue Roger Froissart 60112 Herchies";49.29181,2.00418
8;"Jardin du Moulin Ventin";"chemin du Moulin 60120 Paillart";49.65756,2.27252
9;"Jardin des cinq roses";"1 place de l'Hôtel de Ville 21240 Talant";47.33960563,4.972401112
10;"Parc du moulin à tan et serres de collections tropicales";"28 chemin de Babie 89100 Sens";48.18588184,3.278228045
11;"Parc du château de Thorigny";"3 rue de la Division Leclerc 89260 Thorigny-sur-Oreuse";48.29261081,3.402639627
12;"Atelier Jardin";"route de Cousance 39270 Cressia";46.529771,5.477024
13;"Parc et potager du château de Montigny-sur-Aube";"2 rue de l’Église 21520 Montigny-sur-Aube";47.9528,4.7785
14;"Jardin potager du château de Digoine";"route de Digoine 71430 Palinges";46.3156,4.1246
15;"Verger de Déduit";"Château de la Trémolière 15380 Anglards-de-Salers";45.2067,2.442278
16;"Parc du château Blanzat";"256, rue de la Libération 63112 Blanzat";45.82709846,3.074079752
17;"Roseraie de Berty";"Largentière 07110 Largentière";44.55081398,4.253001139
18;"La Jaÿsinia";"Station d'écologie végétale 74340 Samoëns";46.08378008,6.725794673
19;"Jardin du musée Hébert";"chemin Hébert 38700 La Tronche";45.205762,5.751556
20;"Parc du domaine de Vizille";"place du Château 38220 Vizille";45.07532667,5.772754177
21;"Jardin du Mas de l'Abri";"Mas de l'Abri Sous Ponteils 30450 Ponteils-et-Bresis";44.40332,3.975765
22;"Jardin des Oules";"Place du château 30700 Saint-Victor des Oules";44.03,4.48
23;"Jardin de la Mothe";"La Mothe 12260 Salles-Courbatiès";44.46705756,2.102771401
24;"Jardin de la poterie Hillen";"Lieu-dit Au bord de la Gimone 65230 Thermes-Magnoac";43.28620351,0.6130182
25;"Parc de la Rochegude";"boulevard Carnot 81000 Albi";43.92738928,2.148284465
26;"Jardin de l’habitation Acajou";"Domaine de L'Acajou 97240 Le François";14.61,-60.89
27;"Domaine d’Emeraude";"Rue Paul Marie Valere 97260 Morne-Rouge";14.77,-61.12
28;"Jardins du Marais";"Hoscas 44410 Herbignac";47.423413,-2.283318
29;"Hortus conclusus du prieuré de Vauboin";"Prieuré de Vauboin 72340 Beaumont-sur-Dême";47.6928422,0.569223762
30;"Parc de l'Auneau";"Domaine de l'Auneau 85110 Chantonnay";46.68041887,-1.107387543
31;"Jardins de Chaligny";"Chaligny 85320 Sainte-Pexine";46.53221822,-1.111205667
32;"Potager du château Colbert";"place du château Colbert 49360 Maulévrier";47.00749,0.7461
33;Camifolia;"11 rue de l’Arzillé – Chemillé 49120 Chemillé-en-Anjou";47.215491,0.733275
34;"Jardin médiéval du château";"12 cour du château 85390 Bazoges-en-Pareds";46.65631,0.91508
35;"Un jardin philosophe";"50 rue Monseigneur Médard Barth 67530 Boersch";48.476,7.44
36;"Le jardin de Marguerite";"2 rue du Verger 67115 Plobsheim";48.47277901,7.724064589
37;"Jardin botanique de l'université Louis Pasteur";"28 rue Goethe 67000 Strasbourg";48.58442186,7.766754627
38;"Parc de Wesserling";"rue du parc 68470 Husseren-Wesserling";47.88530518,6.998848915
39;"Le jardin de mon moulin";"Moulin de la Mazelle 52300 Thonnance-les-Joinville";48.45895043,5.180511028
40;"Jardin d'eau de l’Aubepré";"3, rue Saint-Florentin 54115 Gélaucourt";48.45355616,5.990413427
41;"Jardin des Prairiales";"Château de la Grange 57100 Manom";49.37659098,6.167036891
42;"Jardin d'altitude du Haut-Chitelet";"col de la Schlucht 88400 Xonrupt-Longemer";48.0637909,7.022873461
43;"Parc de Chamarande";"38 rue du Commandant Arnoux 91730 Chamarande";48.51330668,2.220262885
44;"Parc du château Saint-Jean de Beauregard";"Rue du Château 91940 Saint-Jean-de-Beauregard";48.66104995,2.163544893
45;"Domaine de la Malmaison";"15 avenue du Château 92500 Rueil-Malmaison";48.87079561,2.166859433
46;"Ecole du Breuil, jardins et arboretum";"Route de la Ferme 75012 Paris";48.82360886,2.457337976
47;"Domaine national de Champs-sur-Marne";"31 rue de Paris 77420 Champs-sur-Marne";48.85278558,2.603609562
48;"Jardin du Point du Jour";"Le Point du Jour 77510 Verdelot";48.89052571,3.367652893
49;"Jardin du Moulin Jaune";"1 sente du Moulin Nicole 77580 Crécy-la-Chapelle";48.86159907,2.888081297
50;"Jardin de campagne";"13 rue Butel 95810 Grisy-les-Plâtres";49.12816499,2.0511657
51;"Domaine national de Saint-Germain-en-Laye";"place Charles De Gaulle 78100 Saint-Germain-en-Laye";48.89783687,2.096194625
52;"Domaine national du Château de Versailles";"Château de Versailles 78000 Versailles";48.80980283,2.101135254
53;"Jardins familiaux des Petis Bois à Montreuil";"Parcelle Paul Philippe, 1 rue des Petits Bois 78000 Versailles";48.80669388,2.156367302
54;"Parc de Bagatelle";"route de Sèvres 75016 Paris";48.8703,2.2483
55;"Domaine départemental de Méréville";"rue Voltaire 91660 Méréville";48.3195,2.0879
56;"Parc du château de Brécy";"Brecy 14480 Saint-Gabriel-Brécy";49.2789976,-0.565645695
57;"Jardin et roseraie du château de Miserey";"2, rue de l'église 27930 Miserey";49.02093744,1.270551682
58;"Jardin plume";"790 rue de la Plaine 76116 Auzouville-sur-Ry";49.43544244,1.330751181
59;"Shamrock, collection nationale d’hydrangeas";"Route du Manoir d’Ango 76119 Varengeville-sur-mer";49.89,0.99
60;"Jardin du Mesnil";"25, route du Mesnil 76680 Montérolier";49.62,1.34
61;"Arboretum d'Harcourt";"12 rue de la Libération 27800 Harcourt";49.1669,0.4703
62;"Jardin de Beauvallon";"chemin de Beauvallon – Mont Bazin 97100 Basse-Terre";16.005535,-61.727203
63;"Jardin botanique";"Villers 97126 Deshaies";16.29854643,-61.79879308
64;"Parc paysager Petit Canal";"rue du Parc paysager 97131 Petit Canal";16.380674,-61.490314
65;"Jardins du château de Sauvan";"Le Château 04300 Mane";43.93794069,5.766985416
66;"Serre de la Madone";"74 val de Gorbio 06500 Menton";43.77427791,7.475616932
67;"Jardin exotique";"20 Rue du Château 06360 Eze";43.72,7.36
68;"Jardin de la bastide de Romégas";"3992 chemin Saint-Donat Nord 13100 Aix-en-Provence";43.54179025,5.452662706
69;"Parc Borély";"avenue du Prado 13008 Marseille";43.25970012,5.380511284
70;"Parc Saint-Bernard";"montée de Noailles 83400 Hyères";43.12470841,6.128000021
71;"Jardin d'Elie Alexis";"1313 chemin des Baumes 83136 La Roquebrussanne";43.35149407,5.982318521
72;"Jardin de la Magalone";"345 boulevard Michelet 13009 Marseille";43.26160411,5.398361385
73;"Jardin de Vie";"34 rue de l'ancienne forge 17520 Celles";45.60510799,-0.373571366
74;"Jardins du prieuré de Laverré";"15 bis route du Prieuré 86340 Aslonnes";46.44322167,0.333731174
75;"Jardin du château de la Motte";"Château de la Motte 86190 Chalandray";46.66148383,-0.002574921
76;"Jardin Les bambous de Planbuisson";"rue Montaigne 24480 Le Buisson-de-Cadoun";44.84832176,0.905991197
77;"Jardins de l'Imaginaire";"place du Foirail 24120 Terrasson-Lavilledieu";45.1265177,1.303140521
78;"Jardins de Marqueyssac";"Vézac 24220 Vezac";44.82325102,1.162410378
79;"Jardin de Boissonna";"Boissonna 47120 Baleyssagues";44.67524974,0.149373561
80;"Jardin du cloître Notre-Dame";"parvis Jean XXIII 47200 Marmande";44.49746192,0.164119005
81;"Jardins du château de Momas";"Château de Momas 64230 Momas";43.37918711,-0.443197489
82;"Jardins du château de Viven";"chemin du Château 64450 Viven";43.46437468,-0.37084356
83;"Jardin de Liliane";"Le château des Bermondet 87310 St-Laurent-sur-Gorre";45.79372435,0.968492031
84;"Jardin de Pomone";"La Fayolle – 12 rue du Château d'eau 17400 Essouvert";45.98608667,-0.536337867
85;"Parc du domaine de Campagne";"Le Bourg 24260 Campagne";44.9089,0.9713
86;"Parc du château de Caradeuc";"Château de Caradeuc 22830 Plouasne";48.29366546,-1.958237886
87;"Jardin du Kestellic";"Le Kestellic 22220 Plouguiel";48.7994,-3.2261
88;"Jardin de Kerdalo";"Kerdalo 22220 Tredarzec";48.81805476,-3.247725964
89;"Parc botanique de Cornouaille";"Pont-l'abbé 29120 Combrit";47.884075,-4.161805
90;"Parc du château de Montmarin";"Château du Montmarin 35730 Pleurtuit";48.599968,-2.026563
91;"Parc floral d'Apremont-sur-Allier";"Le Bourg 18150 Apremont-sur-Allier";46.90518691,3.047799468
92;"Jardin du Prieuré Notre-Dame d'Orsan";"Orsan 18170 Maisonnais";46.67648811,2.219259739
93;"Jardin du domaine de George Sand";"Domaine de George Sand 36400 Nohant-Vic";46.62509699,1.975049973
94;"Jardins du manoir du Grand Courtoiseau";"Manoir du Grand Courtoiseau 45220 Triguères";47.94669196,2.960933447
95;"Arboretum de la Martinière";"rue du Lavoir 37250 Veigné";47.28671,0.75042
96;"Jardin du donjon de Vez";"Donjon de Vez 60117 Vez";49.26330938,3.001014367
